Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,subject_id
SRR6000869,WGS,299,23434172015,Thomas F. Gajewski,PRJNA399742,SAMN07599734,"Microbe\, viral or environmental",10075158787,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156431,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_15,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_15,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P15
SRR6000870,WGS,300,9254324230,Thomas F. Gajewski,PRJNA399742,SAMN07599748,"Microbe\, viral or environmental",3915873918,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156430,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_29,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_29,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P29
SRR6000871,WGS,301,8051063985,Thomas F. Gajewski,PRJNA399742,SAMN07599726,"Microbe\, viral or environmental",3193658059,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156429,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_07,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_07,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P07
SRR6000872,AMPLICON,302,7270348,Thomas F. Gajewski,PRJNA399742,SAMN07599753,"Microbe\, viral or environmental",4850486,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156427,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_34,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_34,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P34
SRR6000873,WGS,301,6245017183,Thomas F. Gajewski,PRJNA399742,SAMN07599723,"Microbe\, viral or environmental",2503546083,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156426,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_04,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_04,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P04
SRR6000874,WGS,301,9510045296,Thomas F. Gajewski,PRJNA399742,SAMN07599724,"Microbe\, viral or environmental",3768381022,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156425,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_05,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_05,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P05
SRR6000875,AMPLICON,302,8845278,Thomas F. Gajewski,PRJNA399742,SAMN07599760,"Microbe\, viral or environmental",5895269,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156423,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_41,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_41,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P41
SRR6000876,AMPLICON,302,8314664,Thomas F. Gajewski,PRJNA399742,SAMN07599761,"Microbe\, viral or environmental",5601591,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156422,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_42,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_42,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P42
SRR6000877,WGS,300,21220498566,Thomas F. Gajewski,PRJNA399742,SAMN07599725,"Microbe\, viral or environmental",8988564461,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156424,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_06,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_06,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P06
SRR6000878,WGS,300,10557209729,Thomas F. Gajewski,PRJNA399742,SAMN07599727,"Microbe\, viral or environmental",4451129685,UNIVERSITY OF CHICAGO,2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156428,USA,North America,USA,Homo sapiens,NextSeq 500,not applicable,feces,SAMshotgun_08,PAIRED,RANDOM,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_08,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P08
SRR6000879,AMPLICON,302,9723796,Thomas F. Gajewski,PRJNA399742,SAMN07599752,"Microbe\, viral or environmental",6485001,UNIVERSITY OF CHICAGO,2017,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156421,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_33,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_33,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P33
SRR6000880,AMPLICON,302,6913384,Thomas F. Gajewski,PRJNA399742,SAMN07599746,"Microbe\, viral or environmental",4499879,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156419,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_27,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_27,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P27
SRR6000881,AMPLICON,302,8396204,Thomas F. Gajewski,PRJNA399742,SAMN07599747,"Microbe\, viral or environmental",5677052,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156418,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_28,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_28,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P28
SRR6000882,AMPLICON,302,10408128,Thomas F. Gajewski,PRJNA399742,SAMN07599744,"Microbe\, viral or environmental",6996479,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156417,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_25,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_25,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P25
SRR6000883,AMPLICON,302,8830480,Thomas F. Gajewski,PRJNA399742,SAMN07599745,"Microbe\, viral or environmental",5947988,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156416,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_26,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_26,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P26
SRR6000884,AMPLICON,302,8420062,Thomas F. Gajewski,PRJNA399742,SAMN07599742,"Microbe\, viral or environmental",5669519,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156415,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_23,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_23,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P23
SRR6000885,AMPLICON,302,9188048,Thomas F. Gajewski,PRJNA399742,SAMN07599743,"Microbe\, viral or environmental",6178663,UNIVERSITY OF CHICAGO,2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3156414,USA,North America,USA,Homo sapiens,Illumina MiSeq,not applicable,feces,SAM16S_24,PAIRED,PCR,METAGENOMIC,metagenomes,ILLUMINA,2018-01-05T00:00:00Z,SAM_24,"stool-isolated microbes\, uncultured",SRP116709,not applicable,P24
